	index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
613	613	main-captions	MSRvid	2012train	172	none	none	A boy whacks a man with a sword.	A boy spanks a man with a plastic sword.	3.333
1236	1236	main-captions	images	2014	347	none	none	An Esso gas station with trees in the background.	Two police officers standing behind a van with a bus in the background.	0.0
1021	1021	main-captions	images	2014	31	none	none	A black and white photo of a woman showing a horse.	a black and white photo of cows in their stalls.	1.4
184	184	main-captions	MSRvid	2012test	272	none	none	A cheetah is running.	A cheetah is running across a field.	3.8
914	914	main-captions	MSRvid	2012train	620	none	none	A man puts a knife in a vice.	A man is dancing.	0.25
5310	5353	main-news	headlines	2015	987	none	none	Venezuelan president to visit China	Senegalese president to visit China	1.8
3942	3985	main-news	headlines	2013	290	none	none	Bradley triumphs at Firestone as Furyk fades	Bahrain court upholds sentences against uprising leaders	0.0
3357	3385	main-news	MSRpar	2012train	661	none	none	Among those waiting a turn was Jodie Singer, a sixth-grader from Washington, D.C.	Jodie Singer, a sixth-grader from Washington, D.C., anxiously awaited her turn at the microphone.	3.75
1176	1176	main-captions	images	2014	257	none	none	A sheep stands on a hillside.	A large sheep standing on a hill.	4.0
4872	4915	main-news	headlines	2014	704	none	none	Suarez set for Cup comeback	French set for Mali ground combat	0.8
2280	2283	main-forum	deft-forum	2014	283	none	none	Classical Gas We are all vessels filled with many wonders.	The theme song to Cheers: We are all vessels filled with many wonders.	3.0
4545	4588	main-news	headlines	2014	297	none	none	Meteorite hits central Russia, more than 500 people hurt	Meteorite hits central Russia, 400 hurt	3.0
3591	3634	main-news	deft-news	2014	184	none	none	7 police officers were killed and 4 officers were wounded.	during the clash 7 seven police officers were killed and 4 seriously wounded.	4.6
4374	4417	main-news	headlines	2014	90	none	none	Zimmerman stopped for speeding in Texas, released with warning	Zimmerman pulled over in Texas for speeding, given warning	5.0
115	115	main-captions	MSRvid	2012test	167	none	none	A woman is using a sewing machine.	A woman is sewing on a machine.	5.0
169	169	main-captions	MSRvid	2012test	249	none	none	A woman is sitting at a desk.	A woman is riding a donkey.	0.4
2035	2038	main-forum	deft-forum	2014	38	none	none	If you asked , conservatives, the numbers will be skewed to the right.	If you asked , progressives, the numbers would be skewed to the left.	2.6
3510	3553	main-news	deft-news	2014	103	none	none	paris is the capital of france.	lima is the capital of	0.6
303	303	main-captions	MSRvid	2012test	450	none	none	A man is drawing a picture.	A person is drawing.	3.6
2355	2358	main-forum	deft-forum	2014	358	none	none	I agree completely I am hoping he is into a second term of office.	I am hoping he is into a second term of office.	4.0
691	691	main-captions	MSRvid	2012train	284	none	none	A person is walking down a stone path.	A man is walking down a sidewalk.	3.5
5682	5725	main-news	headlines	2016	1313	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	South Korea reports seven new MERS cases	South Korean woman in contact with MERS patient dies	1.0
5659	5702	main-news	headlines	2016	1178	Europe Media Monitor (http://emm.newsbrief.eu)	Europe Media Monitor (http://emm.newsbrief.eu)	occupied Palestinian territory: Israeli Forces Continue to Shed Palestinian Blood in oPt	occupied Palestinian territory: Israel warns on security as Gaza truce talks resume	1.0
3096	3122	main-news	MSRpar	2012train	259	none	none	Complicating the situation is the presence of battle-hardened Liberians who have been fighting on both sides.	Fighting has continued sporadically in the west, where it is complicated by the presence of battle-hardened Liberians on both sides.	4.0
2393	2396	main-forum	deft-forum	2014	396	none	none	We are all vessels filled with many wonders.	Jingle Bell Rock by Bobby Helm We are all vessels filled with many wonders.	3.0
2635	2644	main-news	MSRpar	2012test	310	none	none	Boeing's board is also expected to decide at its December meeting whether to offer the airplane for sale to airlines.	It is widely expected to give Bair formal approval to offer the plane for sale to airlines.	2.25
3572	3615	main-news	deft-news	2014	165	none	none	it did not say if the men had been hanged in prison.	dozens of such criminals have been hanged in public.	1.8
631	631	main-captions	MSRvid	2012train	200	none	none	A man is running.	A man is mooing.	1.0
2746	2770	main-news	MSRpar	2012test	484	none	none	Today, we are trying to convey this problem to Russian President Vladimir Putin and US President George W Bush.	Today, we are trying to convey this problem to Russian President Vladimir Putin (news - web sites) and President Bush (news - web sites).	4.6
4709	4752	main-news	headlines	2014	504	none	none	Three feared dead after helicopter crashes into pub	Three feared dead after helicopter pub crash	5.0
2883	2907	main-news	MSRpar	2012test	685	none	none	There were a number of bureaucratic and administrative missed signals -- there's not one person who's responsible here, Gehman said.	In turning down the NIMA offer, Gehman said, ''there were a number of bureaucratic and administrative missed signals here.	3.75
1971	1971	main-captions	images	2015	1399	none	none	A black dog is running in the grass.	A black and a brown dog running in the grass.	3.2
806	806	main-captions	MSRvid	2012train	459	none	none	A boy is running on a beach.	Two boys are playing in the beach.	2.75
2000	2000	main-forum	deft-forum	2014	0	none	none	How about some testimonies from real health experts?	"Also, who's to say there aren't testimonies from ""real"" health experts on there?"	3.0
2901	2925	main-news	MSRpar	2012test	708	none	none	Similar bills passed the House twice but died in the Senate.	Two years ago, the House passed a similar version that floundered in the Senate.	2.75
1989	1989	main-captions	images	2015	1477	none	none	The man is sitting with a little girl in the park.	The man is playing with the shaggy little dog.	0.6
750	750	main-captions	MSRvid	2012train	364	none	none	A man is cutting a paper.	A person is tearing paper.	2.583
4347	4390	main-news	headlines	2014	54	none	none	Central African Republic president overthrown by rebels	Central African Republic President, PM stepping down	2.6
1059	1059	main-captions	images	2014	82	none	none	Three men are sitting down at a table that has drinks on it.	Three men sitting at the table with beer and food.	3.4
3809	3852	main-news	headlines	2013	128	none	none	Gusmao consolidates power in East Timor elections	Supreme Court possibilities if Romney wins election	0.0
5140	5183	main-news	headlines	2015	578	none	none	Russian parliament allows Putin to use military in Ukraine	Russia has no intention to incorporate southeastern Ukraine: FM	1.8
4068	4111	main-news	headlines	2013	446	none	none	NATO US troop detained over shooting of Afghan civilians	U.S. says saddened by shooting on Afghan civilians	2.4
4686	4729	main-news	headlines	2014	472	none	none	Egypt Crackdown Draws Condemnation	Egypt: Egypt crackdown sparks global outrage	4.6
1767	1767	main-captions	images	2015	818	none	none	A man and a woman are smiling.	A man and a woman laughing.	3.2
1163	1163	main-captions	images	2014	234	none	none	A close-up of a sheep with its tongue hanging out.	Close up image of a sheep with it's tongue hanging out.	5.0
